=== NQL SDK RAM SNAPSHOT 001 ===
timestamp=2026-04-13 15:22:41.050
WorkingSet=6315.1 MB
PeakWorkingSet=6320.1 MB
PrivateBytes=6348.8 MB
PagefileUsage=6348.8 MB
PeakPagefile=6360.9 MB
VRAM_Local=215.9 MB  (discrete GPU memory in use)
VRAM_Shared=0.0 MB  (system RAM used by GPU for non-local resources)
TextureArray_Est=3.44 MB  (block+font atlas, RGBA8 no mips, 881 layers)
ResidentChunks=335


[RAM: per-chunk breakdown — all values are CPU RAM unless noted]
SLOT   CX     CZ     SCX    SCZ    ROLE | BLK_KB   CMESH_KB   UPLOAD_KB SUB_KB   SIM_KB  CONS_KB  TOTAL_KB 
215    -15    -10    -1     -1     PRI  | 2136     0          0         13995    512     0        16643    
216    -4     -16    -1     -1     PRI  | 2152     0          0         17934    512     0        20598    
217    -11    -14    -1     -1     PRI  | 2176     0          0         14784    512     0        17472    
218    -5     -16    -1     -1     PRI  | 2152     0          0         17805    512     0        20469    
219    -3     -16    -1     -1     PRI  | 2160     0          0         17832    512     0        20504    
220    -6     -16    -1     -1     PRI  | 2160     0          0         17883    512     0        20555    
221    -2     -16    -1     -1     PRI  | 2112     0          0         17537    512     0        20161    
222    -7     -16    -1     -1     PRI  | 2168     0          0         18020    512     0        20700    
223    -16    -9     -1     -1     PRI  | 1752     0          0         14509    512     0        16773    
224    -1     -16    -1     -1     PRI  | 2096     0          0         20607    512     0        23215    
225    -10    -15    -1     -1     PRI  | 2184     0          0         14761    512     0        17457    
226    -14    -12    -1     -1     PRI  | 2216     0          0         14952    512     0        17680    
227    -15    -11    -1     -1     PRI  | 2216     0          0         14739    512     0        17467    
228    -13    -13    -1     -1     PRI  | 2208     0          0         14937    512     0        17657    
229    -12    -14    -1     -1     PRI  | 2192     0          0         14847    512     0        17551    
230    -8     -16    -1     -1     PRI  | 2144     0          0         17861    512     0        20517    
231    -16    -10    -1     -1     PRI  | 1952     0          0         15678    512     0        18142    
232    -11    -15    -1     -1     PRI  | 2184     0          0         14800    512     0        17496    
233    -9     -16    -1     -1     PRI  | 2144     0          0         17790    512     0        20446    
234    -14    -13    -1     -1     PRI  | 2184     0          0         14728    512     0        17424    
235    -15    -12    -1     -1     PRI  | 2216     0          0         14818    512     0        17546    
236    -13    -14    -1     -1     PRI  | 2208     0          0         14958    512     0        17678    
237    -16    -11    -1     -1     PRI  | 2048     0          0         16404    512     0        18964    
238    -10    -16    -1     -1     PRI  | 2152     0          0         17856    512     0        20520    
239    -12    -15    -1     -1     PRI  | 2176     0          0         14781    512     0        17469    
240    -11    -16    -1     -1     PRI  | 2184     0          0         18057    512     0        20753    
241    -14    -14    -1     -1     PRI  | 2160     0          0         14675    512     0        17347    
242    -15    -13    -1     -1     PRI  | 2152     0          0         14521    512     0        17185    
243    -16    -12    -1     -1     PRI  | 2096     0          0         17014    512     0        19622    
244    -13    -15    -1     -1     PRI  | 2200     0          0         14899    512     0        17611    
245    -16    -13    -1     -1     PRI  | 2104     0          0         17358    512     0        19974    
246    -12    -16    -1     -1     PRI  | 2176     0          0         18037    512     0        20725    
247    -15    -14    -1     -1     PRI  | 2160     0          0         14564    512     0        17236    
248    -14    -15    -1     -1     PRI  | 2184     0          0         14850    512     0        17546    
249    -13    -16    -1     -1     PRI  | 2176     0          0         18031    512     0        20719    
250    -16    -14    -1     -1     PRI  | 2136     0          0         17642    512     0        20290    
251    -15    -15    -1     -1     PRI  | 2184     0          0         14764    512     0        17460    
252    -4     1      -1     0      WALL | 1544     0          0         12153    512     0        14209    
253    -14    -16    -1     -1     PRI  | 2152     0          0         17932    512     0        20596    
254    -5     1      -1     0      WALL | 1544     0          0         11810    512     0        13866    
