Performance Profiler Log
Started: 20260413_152453
---
Frame,Total_ms,Accounted_ms,Unaccounted_ms,Render_ms,ChunkUpdate_ms,CU_ManagerUpdate_ms,CU_Eviction_ms,CU_SyncLoad_ms,CU_SyncWorldgen_ms,CU_SyncMesh_ms,ChunkStream_ms,ChunkAdopt_ms,ChunkMesh_ms,Physics_ms,SettlementScan_ms,SettlementRuntime_ms,Entity_ms,Input_ms,DebugUI_ms,ChunksEvicted,ChunksSyncGen,ChunksSyncLoaded,DesiredCount,ResidentCount
StartGraphics: preset=high display=borderless grid=9 render_distance=4 far_lod=0 experimental_far=0 render_scale=100 anisotropy=16 aa=1 smooth=1 shadow=3 water=1 black_walls=0 vsync=1 fog=0 experimental_runtime_opt=1 window=3840x2400 fullscreen=3840x2400 overlays[F6=0 F7=0 F8=0] pause_view=5
96,34.082,34.060,0.022,32.400,0.003,0.003,0.000,0.000,0.000,0.000,0.684,0.866,0.007,0.027,0.001,0.001,0.001,0.002,0.067,0,0,0,400,400
97,33.526,33.502,0.024,31.824,0.003,0.003,0.000,0.000,0.000,0.000,0.697,0.863,0.009,0.027,0.001,0.002,0.001,0.002,0.074,0,0,0,400,400
98,33.054,33.030,0.024,31.353,0.004,0.003,0.000,0.000,0.000,0.000,0.687,0.871,0.009,0.027,0.001,0.002,0.001,0.002,0.073,0,0,0,400,400
99,34.227,34.203,0.024,32.426,0.004,0.004,0.000,0.000,0.000,0.000,0.687,0.966,0.009,0.030,0.001,0.002,0.001,0.002,0.076,0,0,0,400,400
100,33.811,33.788,0.023,32.110,0.004,0.003,0.000,0.000,0.000,0.000,0.700,0.861,0.008,0.027,0.001,0.002,0.001,0.002,0.073,0,0,0,400,400
101,31.530,31.503,0.027,29.825,0.004,0.004,0.000,0.000,0.000,0.000,0.684,0.874,0.009,0.029,0.001,0.002,0.001,0.002,0.073,0,0,0,400,400
102,34.400,34.376,0.023,32.707,0.003,0.003,0.000,0.000,0.000,0.000,0.693,0.858,0.009,0.027,0.001,0.002,0.001,0.002,0.073,0,0,0,400,400
103,33.714,33.691,0.023,32.018,0.003,0.003,0.000,0.000,0.000,0.000,0.684,0.869,0.009,0.028,0.001,0.002,0.001,0.002,0.074,0,0,0,400,400
104,32.346,32.322,0.024,30.639,0.003,0.003,0.000,0.000,0.000,0.000,0.701,0.863,0.009,0.028,0.001,0.002,0.001,0.002,0.074,0,0,0,400,400
105,33.966,33.942,0.024,32.186,0.004,0.004,0.000,0.000,0.000,0.000,0.753,0.883,0.009,0.028,0.001,0.002,0.001,0.002,0.074,0,0,0,400,400
106,33.441,33.417,0.024,31.743,0.003,0.003,0.000,0.000,0.000,0.000,0.688,0.865,0.009,0.030,0.001,0.002,0.001,0.002,0.073,0,0,0,400,400
107,31.700,31.678,0.022,30.007,0.003,0.003,0.000,0.000,0.000,0.000,0.694,0.859,0.009,0.028,0.001,0.002,0.001,0.002,0.073,0,0,0,400,400
108,34.238,34.216,0.022,32.555,0.003,0.003,0.000,0.000,0.000,0.000,0.684,0.869,0.007,0.025,0.001,0.001,0.001,0.002,0.068,0,0,0,400,400
109,32.547,32.524,0.024,30.849,0.004,0.003,0.000,0.000,0.000,0.000,0.685,0.870,0.008,0.030,0.001,0.002,0.001,0.002,0.073,0,0,0,400,400
110,34.580,34.558,0.022,32.890,0.003,0.003,0.000,0.000,0.000,0.000,0.690,0.867,0.007,0.027,0.001,0.001,0.001,0.002,0.069,0,0,0,400,400
111,32.984,32.961,0.023,31.264,0.004,0.003,0.000,0.000,0.000,0.000,0.695,0.883,0.009,0.029,0.001,0.002,0.001,0.002,0.072,0,0,0,400,400
112,34.464,34.441,0.024,32.747,0.003,0.003,0.000,0.000,0.000,0.000,0.700,0.875,0.009,0.028,0.001,0.002,0.001,0.002,0.074,0,0,0,400,400
113,33.116,33.093,0.023,31.394,0.004,0.004,0.000,0.000,0.000,0.000,0.709,0.869,0.009,0.027,0.001,0.002,0.001,0.002,0.076,0,0,0,400,400
114,31.240,31.218,0.023,29.360,0.004,0.004,0.000,0.000,0.000,0.000,0.694,0.866,0.009,0.029,0.001,0.002,0.001,0.002,0.251,0,0,0,400,400
115,34.466,34.442,0.024,32.757,0.004,0.003,0.000,0.000,0.000,0.000,0.696,0.871,0.008,0.028,0.001,0.002,0.001,0.002,0.074,0,0,0,400,400
116,33.778,33.755,0.022,32.087,0.004,0.003,0.000,0.000,0.000,0.000,0.686,0.866,0.009,0.026,0.001,0.002,0.001,0.002,0.072,0,0,0,400,400
117,33.328,33.304,0.024,31.585,0.004,0.003,0.000,0.000,0.000,0.000,0.691,0.908,0.009,0.028,0.001,0.002,0.001,0.002,0.074,0,0,0,400,400
118,32.258,32.230,0.028,30.561,0.004,0.003,0.000,0.000,0.000,0.000,0.690,0.860,0.008,0.028,0.001,0.002,0.001,0.002,0.073,0,0,0,400,400
119,33.078,33.055,0.023,31.374,0.004,0.003,0.000,0.000,0.000,0.000,0.699,0.865,0.009,0.028,0.001,0.002,0.001,0.002,0.072,0,0,0,400,400
120,33.382,33.360,0.022,31.618,0.004,0.004,0.000,0.000,0.000,0.000,0.685,0.866,0.008,0.028,0.001,0.002,0.001,0.002,0.145,0,0,0,400,400
121,34.495,34.472,0.023,32.795,0.004,0.004,0.000,0.000,0.000,0.000,0.686,0.873,0.008,0.029,0.001,0.001,0.001,0.002,0.072,0,0,0,400,400
122,33.123,33.100,0.023,31.419,0.003,0.003,0.000,0.000,0.000,0.000,0.700,0.863,0.009,0.029,0.001,0.002,0.001,0.002,0.073,0,0,0,400,400
123,33.184,33.161,0.023,31.474,0.004,0.003,0.000,0.000,0.000,0.000,0.707,0.861,0.009,0.027,0.001,0.002,0.001,0.002,0.074,0,0,0,400,400
124,33.664,33.640,0.024,31.886,0.003,0.003,0.000,0.000,0.000,0.000,0.761,0.875,0.009,0.027,0.001,0.002,0.001,0.002,0.074,0,0,0,400,400
125,31.257,31.234,0.023,29.528,0.004,0.003,0.000,0.000,0.000,0.000,0.711,0.876,0.009,0.028,0.001,0.002,0.001,0.002,0.074,0,0,0,400,400
126,33.421,33.397,0.024,31.730,0.004,0.003,0.000,0.000,0.000,0.000,0.687,0.863,0.008,0.028,0.001,0.001,0.001,0.002,0.072,0,0,0,400,400
127,34.064,34.040,0.024,32.347,0.004,0.003,0.000,0.000,0.000,0.000,0.694,0.877,0.008,0.031,0.001,0.002,0.001,0.002,0.074,0,0,0,400,400
128,33.508,33.480,0.028,31.795,0.004,0.003,0.000,0.000,0.000,0.000,0.686,0.875,0.008,0.030,0.001,0.002,0.001,0.004,0.074,0,0,0,400,400
129,32.583,32.560,0.023,30.884,0.004,0.003,0.000,0.000,0.000,0.000,0.688,0.870,0.009,0.028,0.001,0.002,0.001,0.002,0.074,0,0,0,400,400
