Performance Profiler Log
Started: 20260412_012909
---
Frame,Total_ms,Accounted_ms,Unaccounted_ms,Render_ms,ChunkUpdate_ms,ChunkStream_ms,ChunkAdopt_ms,ChunkMesh_ms,Physics_ms,SettlementScan_ms,SettlementRuntime_ms,Entity_ms,Input_ms,DebugUI_ms
StartGraphics: preset=high display=borderless grid=33 render_distance=16 far_lod=0 experimental_far=0 render_scale=100 anisotropy=16 aa=1 smooth=1 shadow=3 water=1 black_walls=0 vsync=1 fog=0 window=3840x2400 fullscreen=3840x2400 overlays[F6=0 F7=0 F8=0] pause_view=5
174,33.371,33.321,0.050,32.339,0.001,0.672,0.175,0.003,0.022,0.011,0.040,0.004,0.002,0.053
175,33.891,33.838,0.053,32.746,0.002,0.806,0.177,0.004,0.025,0.011,0.001,0.007,0.002,0.057
176,47.842,47.758,0.085,5.253,0.003,0.703,41.663,0.005,0.035,0.013,0.002,0.008,0.003,0.069
177,48.975,48.893,0.081,47.956,0.005,0.606,0.147,0.007,0.046,0.014,0.040,0.007,0.003,0.062
178,6.665,6.565,0.100,5.196,0.004,0.945,0.236,0.007,0.052,0.018,0.003,0.014,0.004,0.086
179,31.045,30.970,0.075,29.961,0.003,0.693,0.175,0.005,0.034,0.013,0.002,0.011,0.003,0.070
180,44.363,44.281,0.082,4.707,0.003,0.677,38.764,0.005,0.033,0.013,0.002,0.010,0.003,0.063
181,27.404,27.325,0.078,26.384,0.004,0.606,0.151,0.008,0.038,0.014,0.040,0.007,0.003,0.072
182,27.166,27.064,0.103,25.992,0.004,0.706,0.178,0.006,0.070,0.018,0.003,0.013,0.007,0.067
183,32.727,32.673,0.055,31.732,0.002,0.663,0.174,0.003,0.022,0.011,0.001,0.006,0.002,0.056
184,33.852,33.804,0.048,32.848,0.001,0.684,0.174,0.003,0.025,0.010,0.001,0.004,0.002,0.052
185,32.749,32.701,0.047,31.709,0.001,0.680,0.177,0.003,0.019,0.010,0.042,0.004,0.002,0.053
186,33.703,33.655,0.047,32.721,0.002,0.665,0.174,0.003,0.024,0.009,0.001,0.005,0.002,0.050
187,40.574,40.524,0.050,31.238,0.001,8.984,0.205,0.005,0.019,0.009,0.001,0.005,0.002,0.054
188,61.065,60.970,0.094,59.856,0.004,0.692,0.189,0.008,0.049,0.016,0.050,0.009,0.004,0.094
189,14.507,14.342,0.165,3.810,0.004,0.729,9.328,0.009,0.064,0.163,0.007,0.037,0.006,0.186
190,27.723,27.605,0.119,26.560,0.004,0.676,0.172,0.005,0.071,0.031,0.008,0.011,0.003,0.064
191,39.753,39.679,0.074,38.630,0.003,0.691,0.177,0.005,0.035,0.013,0.043,0.008,0.003,0.070
192,33.050,32.962,0.088,30.488,0.003,2.064,0.251,0.012,0.039,0.014,0.002,0.012,0.003,0.074
193,32.648,32.591,0.058,31.604,0.002,0.692,0.179,0.006,0.027,0.012,0.001,0.007,0.003,0.058
194,33.486,33.434,0.052,32.450,0.002,0.672,0.174,0.003,0.022,0.010,0.042,0.004,0.002,0.053
195,33.022,32.974,0.048,32.050,0.001,0.661,0.172,0.003,0.019,0.010,0.001,0.006,0.002,0.050
196,33.419,33.343,0.076,11.929,0.002,0.707,20.587,0.005,0.030,0.011,0.002,0.009,0.003,0.059
